SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Allotted Quota_1,Allotted Institute_1,Course_1,Allotted Category,Candidate Category,option No.,Remarks_1
3528,4448,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3529,4449,All India,"JHALAWAR
MEDICAL COLLEGE,
Jhalawar",MBBS,"Not
Reported","Open Seat
Quota",AIIMS Jammu,MBBS,Open,GN,5,"Fresh Allotted
in 2nd Round"
3530,4450,"Open Seat
Quota","AIIMS, Rai Bareli",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Rai Bareli",MBBS,EWS,EWS,19,"Fresh Allotted
in 2nd Round"
3531,4452,All India,"MOTI LAL NEHRU
MEDICAL COLL,
ALLAHABAD",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3532,4453,-,-,-,-,All India,"K.A.P.
VISWANATHAM
G.M.C.,TIRUCHIRAP
ALLI",MBBS,Open,OBC,1,"Fresh Allotted
in 2nd Round"
3533,4455,"Delhi
University
Quota","Lady Hardinge
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3534,4457,"Delhi
University
Quota","Lady Hardinge
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3535,4460,All India,"MOTI LAL NEHRU
MEDICAL COLL,
ALLAHABAD",MBBS,Reported,All India,"Osmania Medical
College Koti",MBBS,Open,GN,17,Upgraded
3536,4462,All India,"M.G.M. MEDICAL
COLLEGE, INDORE",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3537,4463,All India,"G.R. MEDICAL
COLLEGE,
GWALIOR",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3538,4466,All India,"MOTI LAL NEHRU
MEDICAL COLL,
ALLAHABAD",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3539,4468,All India,"Gandhi Medical
College Musheerabad
Secunderabad",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3540,4469,"Open Seat
Quota","AIIMS, Kalyani",MBBS,Reported,"Open Seat
Quota",AIIMS Mangalagiri,MBBS,EWS,EWS,2,Upgraded
3541,4471,-,-,-,-,All India,"R.N.T. MEDICAL
COLLEGE, UDAIPUR",MBBS,Open,GN,24,"Fresh Allotted
in 2nd Round"
3542,4474,All India,"MOTI LAL NEHRU
MEDICAL COLL,
ALLAHABAD",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3543,4476,All India,"INDIRA GANDHI
GOVT.MEDICAL
COLL., NAGPUR",MBBS,"Not
Reported",All India,"M.G.M. MEDICAL
COLLEGE, INDORE",MBBS,Open,GN,17,"Fresh Allotted
in 2nd Round"
3544,4477,All India,"MEDICAL COLLEGE,
BHAVNAGAR",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3545,4478,"IP
University
Quota","Vardhman Mahavir
Medical College and
Safdarjung Hospital
New Delhi, VMMC",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3546,4479,"Open Seat
Quota","AIIMS, Madurai",MBBS,"Not
Reported","Open Seat
Quota",JIPMER KARAIKAL,MBBS,OBC,OBC,2,"Fresh Allotted
in 2nd Round"
3547,4480,-,-,-,-,All India,"INST OF PG MED
EDU &
RESEARCH,KOLKAT
A",MBBS,Open,OBC,15,"Fresh Allotted
in 2nd Round"
3548,4481,"Open Seat
Quota","AIIMS, Kalyani",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Rai Bareli",MBBS,OBC,OBC,7,"Fresh Allotted
in 2nd Round"
3549,4483,All India,"GOVERNMENT
MEDICAL COLLEGE,
SURAT",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Rai Bareli",MBBS,OBC,OBC,13,"Fresh Allotted
in 2nd Round"
3550,4484,"Open Seat
Quota","AIIMS, Kalyani",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3551,4489,All India,"L.L.R.M. MEDICAL
COLLEGE, MEERUT",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3552,4490,All India,"MAHARANI LAXMI
BAI MEDICAL
COLL,JHANSI",MBBS,"Not
Reported",All India,"G.S.V.M. MEDICAL
COLLEGE, KANPUR",MBBS,Open,GN,14,"Fresh Allotted
in 2nd Round"
3553,4491,All India,"S.S. MEDICAL
COLLEGE, REWA",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3554,4492,All India,"MOTI LAL NEHRU
MEDICAL COLL,
ALLAHABAD",MBBS,Reported,All India,"GOVT. MEDICAL
COLLEGE,PATIALA",MBBS,Open,GN,18,Upgraded
3555,4493,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3556,4498,"Open Seat
Quota","AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3557,4499,All India,"T.D. MEDICAL
COLLEGE,
ALLAPPUZHA",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3558,4500,-,-,-,-,All India,"PATNA MEDICAL
COLLEGE, PATNA",MBBS,Open,EWS,13,"Fresh Allotted
in 2nd Round"
3559,4502,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3560,4504,All India,"Govt Medical College
Kannur",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3561,4505,"Non-
Resident
Indian","JIPMER
PUDUCHERRY",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3562,4506,"Open Seat
Quota","AIIMS, Rai Bareli",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3563,4508,"Open Seat
Quota","AIIMS, Deogarh",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3564,4509,"Aligarh
Muslim
University
(AMU)
Quota","Jawaharlal Nehru
Medical College,
AMU,ALIGARH",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3565,4510,"Open Seat
Quota","AIIMS, Bhubaneswar",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3566,4512,"Open Seat
Quota","AIIMS-Bhopal,",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3567,4513,All India,"PT. B.D. SHARMA
PGIMS, ROHTAK",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3568,4515,-,-,-,-,"Open Seat
Quota","AIIMS, Rai Bareli",MBBS,EWS,EWS,19,"Fresh Allotted
in 2nd Round"
3569,4517,All India,"Government Medical
College, Omandurar",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3570,4519,All India,"Government Medical
College, Omandurar",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3571,4520,All India,"NILRATAN SIRKAR
MEDICAL COLLEGE,
KOLKATA",MBBS,Reported,All India,"INST OF PG MED
EDU &
RESEARCH,KOLKAT
A",MBBS,OBC,OBC,2,Upgraded
3572,4524,-,-,-,-,All India,"GOVERNMENT
MEDICAL COLLEGE,
SURAT",MBBS,Open,GN,18,"Fresh Allotted
in 2nd Round"
3573,4525,"Open Seat
Quota","AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3574,4526,"Delhi
University
Quota","Lady Hardinge
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3575,4527,"Open Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3576,4528,"Delhi
University
Quota","Lady Hardinge
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3577,4530,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3578,4531,-,-,-,-,All India,"Bangalore Medical
College and
Research Institute",MBBS,OBC,OBC,4,"Fresh Allotted
in 2nd Round"
3579,4533,"Open Seat
Quota","AIIMS, Kalyani",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3580,4535,All India,"MOTI LAL NEHRU
MEDICAL COLL,
ALLAHABAD",MBBS,"Not
Reported",All India,"M.G.M. MEDICAL
COLLEGE, INDORE",MBBS,Open,GN,15,"Fresh Allotted
in 2nd Round"
3581,4537,-,-,-,-,All India,"GOVERNMENT
MEDICAL COLLEGE,
SURAT",MBBS,Open,GN,1,"Fresh Allotted
in 2nd Round"
3582,4538,"Delhi
University
Quota","Lady Hardinge
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3583,4540,"Open Seat
Quota","AIIMS, Kalyani",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3584,4541,-,-,-,-,"Open Seat
Quota",JIPMER KARAIKAL,MBBS,OBC,OBC,3,"Fresh Allotted
in 2nd Round"
3585,4542,All India,"LOKMANYA TILAK
MUNICIPAL M
C,MUMBAI",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3586,4543,All India,"RAJENDRA INST.
OF MED. SCI.,
RANCHI",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3587,4544,"Open Seat
Quota","AIIMS, Kalyani",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Rai Bareli",MBBS,OBC,OBC,9,"Fresh Allotted
in 2nd Round"
3588,4545,"Open Seat
Quota","AIIMS, Rai Bareli",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3589,4548,"Open Seat
Quota","AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3590,4549,All India,"GOVT.MEDICAL
COLLEGE, KOTA",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3591,4551,All India,"Gandhi Medical
College Musheerabad
Secunderabad",MBBS,"Not
Reported",All India,"MEDICAL COLLEGE,
BARODA",MBBS,OBC,OBC,19,"Fresh Allotted
in 2nd Round"
3592,4553,"Open Seat
Quota","AIIMS, Deogarh",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3593,4555,"Open Seat
Quota",AIIMS Guahawti,MBBS,"Not
Reported",All India,"GRANT MEDICAL
COLL & SIR
J.J.HOSP,MUMBAI",MBBS,EWS,EWS,13,"Fresh Allotted
in 2nd Round"
3594,4558,All India,"GOVT.MEDICAL
COLLEGE,
AMRITSAR",MBBS,"Not
Reported",All India,"BAHIRAMJEE
JIJIBHAI MEDICAL
COLLGE, PUNE",MBBS,EWS,EWS,14,"Fresh Allotted
in 2nd Round"
3595,4560,All India,"G.R. MEDICAL
COLLEGE,
GWALIOR",MBBS,Reported,All India,"L.L.R.M. MEDICAL
COLLEGE, MEERUT",MBBS,Open,GN,24,Upgraded
3596,4562,All India,"RAJENDRA INST.
OF MED. SCI.,
RANCHI",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3597,4563,All India,"T.D. MEDICAL
COLLEGE,
ALLAPPUZHA",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3598,4564,"Open Seat
Quota","AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3599,4566,All India,"JHALAWAR
MEDICAL COLLEGE,
Jhalawar",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3600,4567,All India,"GOVT.MEDICAL
COLLEGE, KOTA",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3601,4568,-,-,-,-,All India,"INDIRA GANDHI
MEDICAL COLL.,
SHIMLA",MBBS,OBC,OBC,22,"Fresh Allotted
in 2nd Round"
3602,4571,All India,"MOTI LAL NEHRU
MEDICAL COLL,
ALLAHABAD",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3603,4573,All India,"MAHARAJA K.C.
GAJAPATI
M.C.,BRAHMAPUR",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3604,4575,All India,"MAHARANI LAXMI
BAI MEDICAL
COLL,JHANSI",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3605,4576,"Open Seat
Quota","AIIMS, Madurai",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Madurai",MBBS,Open,OBC,4,"Fresh Allotted
in 2nd Round"
3606,4579,All India,"GOVT. MEDICAL
COLLEGE, NAGPUR",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3607,4583,"Open Seat
Quota",AIIMS Guahawti,MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3608,4584,"Open Seat
Quota","AIIMS, Deogarh",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3609,4585,-,-,-,-,All India,"INST OF PG MED
EDU &
RESEARCH,KOLKAT
A",MBBS,OBC,OBC,16,"Fresh Allotted
in 2nd Round"
3610,4588,"Open Seat
Quota","AIIMS, Kalyani",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3611,4589,All India,"MEDICAL COLLEGE,
BHAVNAGAR",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3612,4590,All India,"R.G. KAR MEDICAL
COLLEGE,KOLKATA",MBBS,Reported,All India,"NILRATAN SIRKAR
MEDICAL COLLEGE,
KOLKATA",MBBS,Open,GN,14,Upgraded
3613,4592,All India,"MYSORE MED.&
RESEARCH INST.
MYSORE",MBBS,Reported,"Open Seat
Quota",AIIMS Mangalagiri,MBBS,OBC,OBC,1,Upgraded
3614,4593,"Open Seat
Quota","AIIMS, Madurai",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3615,4594,-,-,-,-,All India,"Dr Ram Manohar
Lohia Inst. of Med.
Sce., Lucknow",MBBS,EWS,EWS,2,"Fresh Allotted
in 2nd Round"
3616,4595,"Aligarh
Muslim
University
(AMU)
Quota","Jawaharlal Nehru
Medical College,
AMU,ALIGARH",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3617,4596,"Open Seat
Quota","AIIMS, Kalyani",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Rai Bareli",MBBS,OBC,OBC,4,"Fresh Allotted
in 2nd Round"
3618,4599,"Open Seat
Quota","AIIMS, Deogarh",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3619,4601,All India,"Government Medical
College, ESIC,
Kollam",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3620,4604,-,-,-,-,All India,"G.S.V.M. MEDICAL
COLLEGE, KANPUR",MBBS,Open,EWS,6,"Fresh Allotted
in 2nd Round"
3621,4605,All India,"GOVERNMENT
MEDICAL COLLEGE,
SURAT",MBBS,Reported,"Open Seat
Quota","AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,EWS,EWS,11,Upgraded
3622,4608,-,-,-,-,All India,"RAJENDRA INST.
OF MED. SCI.,
RANCHI",MBBS,Open,GN,14,"Fresh Allotted
in 2nd Round"
3623,4610,All India,"Andhra Medical
College,
Visakhapatnam",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3624,4613,-,-,-,-,All India,"R.N.T. MEDICAL
COLLEGE, UDAIPUR",MBBS,Open,GN,8,"Fresh Allotted
in 2nd Round"
3625,4614,All India,"Maulana Azad
Institute of Dental
Sciences, New Delhi",BDS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3626,4615,-,-,-,-,"Open Seat
Quota","AIIMS, Deogarh",MBBS,Open,GN,6,"Fresh Allotted
in 2nd Round"
3627,4616,All India,"L.L.R.M. MEDICAL
COLLEGE, MEERUT",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3628,4617,All India,"Govt institute of
Medcial Sciences
Kasna",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3629,4618,"Delhi
University
Quota","Lady Hardinge
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3630,4620,All India,"GOVT.MEDICAL
COLLEGE, KOTA",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Rai Bareli",MBBS,OBC,OBC,8,"Fresh Allotted
in 2nd Round"
3631,4621,-,-,-,-,"Open Seat
Quota","AIIMS, Rai Bareli",MBBS,OBC,OBC,20,"Fresh Allotted
in 2nd Round"
3632,4623,All India,"TOPIWALA
NATIONAL MEDICAL
COLLEGE,MUMBAI",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3633,4624,-,-,-,-,"Open Seat
Quota",JIPMER KARAIKAL,MBBS,OBC,OBC,18,"Fresh Allotted
in 2nd Round"
3634,4625,All India,"GOVT.MEDICAL
COLLEGE, KOTA",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3635,4627,All India,"ESIC Medical
College, Hyderbad",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3636,4628,All India,"ESIC Medical
College, Hyderbad",MBBS,"Not
Reported",All India,"Osmania Medical
College Koti",MBBS,Open,GN,7,"Fresh Allotted
in 2nd Round"
3637,4630,All India,"GOVT. MEDICAL
COLLEGE,TIRUNEL
VELI",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3638,4631,All India,"CALCUTTA
NATIONAL MED
COLL,KOLKATA",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3639,4632,All India,"TOPIWALA
NATIONAL MEDICAL
COLLEGE,MUMBAI",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3640,4635,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,Reported,All India,"MEDICAL COLLEGE,
BARODA",MBBS,OBC,OBC,17,Upgraded
3641,4637,All India,"JHALAWAR
MEDICAL COLLEGE,
Jhalawar",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3642,4638,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3643,4639,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3644,4640,All India,"B.R.D. MEDICAL
COLLEGE,
GORAKHPUR",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3645,4641,"Open Seat
Quota",AIIMS Guahawti,MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3646,4642,-,-,-,-,"Open Seat
Quota","AIIMS, Deogarh",MBBS,Open,GN,14,"Fresh Allotted
in 2nd Round"
3647,4643,All India,"KURNOOL MEDICAL
COLLEGE,
KURNOOL",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3648,4644,-,-,-,-,All India,"R.N.T. MEDICAL
COLLEGE, UDAIPUR",MBBS,Open,GN,23,"Fresh Allotted
in 2nd Round"
3649,4645,All India,"R.G. KAR MEDICAL
COLLEGE,KOLKATA",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3650,4646,All India,"GOA MEDICAL
COLLEGE, PANAJI",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3651,4648,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3652,4649,"Delhi
University
Quota","Lady Hardinge
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3653,4650,"Open Seat
Quota",AIIMS Guahawti,MBBS,"Not
Reported","Open Seat
Quota",AIIMS Guahawti,MBBS,Open,GN,11,"Fresh Allotted
in 2nd Round"
3654,4652,-,-,-,-,All India,"KARNATAK INST.
OF MEDICAL
SC.,HUBLI",MBBS,Open,GN,9,"Fresh Allotted
in 2nd Round"
3655,4653,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3656,4654,All India,"S.N. MEDICAL
COLLEGE, AGRA",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3657,4656,All India,"MAHARANI LAXMI
BAI MEDICAL
COLL,JHANSI",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3658,4657,"Open Seat
Quota","AIIMS, Kalyani",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3659,4658,All India,"M.G.M. MEDICAL
COLLEGE, INDORE",MBBS,"Not
Reported",All India,"BAHIRAMJEE
JIJIBHAI MEDICAL
COLLGE, PUNE",MBBS,OBC,OBC,17,"Fresh Allotted
in 2nd Round"
3660,4659,"Delhi
University
Quota","Lady Hardinge
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3661,4660,"Open Seat
Quota",AIIMS Guahawti,MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3662,4662,"Open Seat
Quota","AIIMS, Kalyani",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3663,4664,All India,"Government Doon
Medcial College,
Dehradun",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3664,4666,"Delhi
University
Quota","Lady Hardinge
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3665,4667,"Open Seat
Quota","AIIMS, Kalyani",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3666,4668,All India,"GURU GOVIND
SINGH MED
COLL,FARIDKOT",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3667,4669,All India,"TOPIWALA
NATIONAL MEDICAL
COLLEGE,MUMBAI",MBBS,"Not
Reported",-,-,-,-,-,-,Not Allotted.
3668,4670,All India,"ESIC Medical College
AND PGIMSR,
Chennai",MBBS,"Not
Reported","Open Seat
Quota",AIIMS Rajkot,MBBS,OBC,OBC,10,"Fresh Allotted
in 2nd Round"
3669,4671,All India,"M.G.M. MEDICAL
COLLEGE, INDORE",MBBS,"Not
Reported",All India,"BAHIRAMJEE
JIJIBHAI MEDICAL
COLLGE, PUNE",MBBS,OBC,OBC,24,"Fresh Allotted
in 2nd Round"
3670,4672,"Open Seat
Quota",AIIMS Jammu,MBBS,"Seat
Surrendered",-,-,-,-,-,-,"Did not fill up
fresh choices."
3671,4674,"Delhi
University
Quota","University College of
Medical Sciences,
New Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3672,4675,"Open Seat
Quota",AIIMS Jammu,MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3673,4677,"Open Seat
Quota","AIIMS, Deogarh",MBBS,"Not
Reported",All India,"PATNA MEDICAL
COLLEGE, PATNA",MBBS,OBC,OBC,11,"Fresh Allotted
in 2nd Round"
3674,4678,All India,"Government Medical
College, Bhilwara",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3675,4679,All India,"COIMBATORE
MEDICAL
COLLEGE,COIMBAT
ORE",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3676,4680,-,-,-,-,"Open Seat
Quota","AIIMS, Kalyani",MBBS,OBC,OBC,15,"Fresh Allotted
in 2nd Round"
3677,4681,"Delhi
University
Quota","Maulana Azad
Medical College, New
Delhi",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3678,4682,All India,"MAHARAJA K.C.
GAJAPATI
M.C.,BRAHMAPUR",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3679,4684,"Open Seat
Quota","AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3680,4685,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,Reported,"Open Seat
Quota","AIIMS, Kalyani",MBBS,OBC,OBC,19,Upgraded
3681,4687,All India,"Indira Gandhi Institute
of Medical Sciences,
Patna",MBBS,"Not
Reported","Open Seat
Quota",JIPMER KARAIKAL,MBBS,OBC,OBC,13,"Fresh Allotted
in 2nd Round"
3682,4688,"Open Seat
Quota","AIIMS, Rai Bareli",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3683,4689,All India,"GURU GOVIND
SINGH MED
COLL,FARIDKOT",MBBS,Reported,All India,"DR.RAJENDRA
PRASAD MC,
TANDA",MBBS,Open,GN,25,Upgraded
3684,4690,All India,"V.S.S. MEDICAL
COLLEGE, BURLA",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3685,4692,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,"Seat
Surrendered",-,-,-,-,-,-,"Did not fill up
fresh choices."
3686,4693,All India,"G.S.V.M. MEDICAL
COLLEGE, KANPUR",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Rai Bareli",MBBS,EWS,EWS,7,"Fresh Allotted
in 2nd Round"
3687,4694,-,-,-,-,All India,"DR.RAJENDRA
PRASAD MC,
TANDA",MBBS,Open,GN,7,"Fresh Allotted
in 2nd Round"
3688,4696,-,-,-,-,All India,"MEDICAL COLLEGE,
BARODA",MBBS,EWS,EWS,3,"Fresh Allotted
in 2nd Round"
3689,4698,All India,"MAHARAJA K.C.
GAJAPATI
M.C.,BRAHMAPUR",MBBS,"Not
Reported",-,-,-,-,-,-,"Did not fill up
fresh choices."
3690,4701,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,Reported,-,-,-,-,-,-,"No
Upgradation"
3691,4702,All India,"PT. B.D. SHARMA
PGIMS, ROHTAK",MBBS,"Not
Reported",All India,"DR.S.N. MEDICAL
COLLEGE,
JODHPUR",MBBS,OBC,OBC,5,"Fresh Allotted
in 2nd Round"
3692,4704,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,Reported,-,-,-,-,-,-,"Did not opt
for
Upgradation."
3693,4706,-,-,-,-,"Open Seat
Quota",AIIMS Jammu,MBBS,Open,GN,2,"Fresh Allotted
in 2nd Round"
3694,4708,-,-,-,-,All India,"Pt. D.D.U MEDICAL
COLLEGE, RAJKOT",MBBS,Open,GN,3,"Fresh Allotted
in 2nd Round"
3695,4709,All India,"Pt. D.D.U MEDICAL
COLLEGE, RAJKOT",MBBS,Reported,All India,"MEDICAL COLLEGE,
BARODA",MBBS,EWS,EWS,2,Upgraded
3696,4712,All India,"JAWAHAR LAL
NEHRU MEDICAL,
AJMER",MBBS,"Not
Reported",All India,"R.N.T. MEDICAL
COLLEGE, UDAIPUR",MBBS,EWS,EWS,10,"Fresh Allotted
in 2nd Round"
3697,4713,All India,"JHALAWAR
MEDICAL COLLEGE,
Jhalawar",MBBS,"Not
Reported","Open Seat
Quota","AIIMS, Rai Bareli",MBBS,OBC,OBC,10,"Fresh Allotted
in 2nd Round"
3698,4715,"Open Seat
Quota","AIIMS Bilaspur
Changar Palasiyan,
Himachal Pradesh",MBBS,Reported,"Open Seat
Quota","AIIMS, Rai Bareli",MBBS,OBC,OBC,6,Upgraded
3699,4716,"Open Seat
Quota","AIIMS, Bibi Nagar,
Hyderabad",MBBS,Reported,"Open Seat
Quota",JIPMER KARAIKAL,MBBS,OBC,OBC,9,Upgraded
